PO_Item_Code,Ordered,Unit_Cost,Department_Name,Department_Code,Order_Date
71-00690,1.0,32.53,026403 Mechanicals,026403,2025-05-14
15-11101,1.0,16.16,026400 Carpenters,026400,2024-07-15
90-10120K,10.0,13.3,026809 Preventive Maintenance,026809,2024-10-16
20-11204,4.0,45.74,026401 Electricians,026401,2024-07-23
90-10670,3.0,1050.33,026809 Preventive Maintenance,026809,2024-07-26
58-00408,1.0,0.68,026404 Plumbing,026404,2024-08-13
30-10813,8.0,99.97,026803 Custodial Services,026803,2024-10-29
91-00330,1.0,1009.99,026809 Preventive Maintenance,026809,2024-07-25
71-00177,4.0,57.46,026403 Mechanicals,026403,2024-07-26
30-10541,14.0,93.18,026803 Custodial Services,026803,2024-08-28
15-11001,10.0,56.05,026400 Carpenters,026400,2024-09-17
90-51817K,10.0,9.82,026809 Preventive Maintenance,026809,2024-10-16
71-51064,4.0,90.88,026403 Mechanicals,026403,2025-01-14
71-00424,2.0,345.0,026403 Mechanicals,026403,2024-10-08
15-50418,4.0,83.1,026400 Carpenters,026400,2024-12-19
71-53050,10.0,1.98,026403 Mechanicals,026403,2025-01-14
58-00484,2.0,34.0,026404 Plumbing,026404,2025-02-06
58-00429,6.0,14.99,026404 Plumbing,026404,2025-03-19
20-12675,1.0,209.12,026401 Electricians,026401,2024-10-29
90-12100,6.0,12.07,026809 Preventive Maintenance,026809,2025-02-04
35-10612S,1.0,102.83,026400 Carpenters,026400,2025-03-19
15-10904,2.0,193.7,026400 Carpenters,026400,2024-05-28
59-12697S,10.0,1.08,026404 Plumbing,026404,2025-02-12
91-00315,1.0,320.87,026809 Preventive Maintenance,026809,2024-06-12
20-10740S,50.0,1.7,026401 Electricians,026401,2024-06-24
22-10610,2.0,2.71,026401 Electricians,026401,2024-06-24
90-51817K,5.0,10.96,026809 Preventive Maintenance,026809,2024-07-09
35-10607S,1.0,38.73,026809 Preventive Maintenance,026809,2024-07-09
20-12652,1.0,185.43,026401 Electricians,026401,2025-04-25
71-11935,1.0,7.54,026403 Mechanicals,026403,2025-05-07
35-10734S,1.0,27.82,026400 Carpenters,026400,2024-09-30
90-12100,18.0,11.95,026809 Preventive Maintenance,026809,2024-11-15
59-11476S,2.0,48.4,026404 Plumbing,026404,2024-08-12
25-10169,2.0,176.28,026401 Electricians,026401,2024-09-24
20-10789,1.0,53.72,026401 Electricians,026401,2024-10-30
30-10515,150.0,4.29,026803 Custodial Services,026803,2024-08-05
71-00123,1.0,81.7147,026403 Mechanicals,026403,2024-10-11
30-23043,300.0,4.29,026803 Custodial Services,026803,2024-08-05
22-12675,5.0,223.45,026401 Electricians,026401,2024-12-19
59-11389S,20.0,0.67,026404 Plumbing,026404,2025-01-27
30-23043,400.0,4.29,026803 Custodial Services,026803,2025-02-06
58-12145,8.0,19.18,026404 Plumbing,026404,2025-03-26
35-10751S,1.0,31.01,026400 Carpenters,026400,2024-12-04
22-11284S,10.0,17.3933,026401 Electricians,026401,2024-12-13
22-12944,2.0,26.96,026401 Electricians,026401,2025-01-30
55-53789S,12.0,5.41,026404 Plumbing,026404,2025-01-30
30-20555,84.0,6.55,026803 Custodial Services,026803,2025-02-25
58-00438,2.0,392.0,026404 Plumbing,026404,2024-12-10
71-00680,2.0,321.0,026403 Mechanicals,026403,2025-04-09
25-10511,1.0,141.63,026401 Electricians,026401,2024-12-11
30-10745S,180.0,4.85,026803 Custodial Services,026803,2024-05-30
20-10194S,5.0,12.89,026401 Electricians,026401,2024-12-13
25-10491,1.0,4.0,026909 Electrical_Elevator_Inventory,026909,2024-05-20
90-10086,2.0,64.99,026809 Preventive Maintenance,026809,2024-06-13
71-00590,1.0,304.3,026403 Mechanicals,026403,2024-10-04
91-00348,26.0,23.71,026809 Preventive Maintenance,026809,2024-11-22
22-12954,2.0,64.55,026401 Electricians,026401,2025-02-20
71-11213,2.0,24.35,026403 Mechanicals,026403,2025-03-10
91-00369,6.0,53.0,026809 Preventive Maintenance,026809,2025-01-29
58-00490,2.0,15.7,026404 Plumbing,026404,2025-03-04
58-00378,2.0,7.02,026404 Plumbing,026404,2024-07-17
59-10245,6.0,3.91,026404 Plumbing,026404,2025-05-08
22-50318S,200.0,2.9825,026401 Electricians,026401,2024-09-13
59-11300,2.0,1.66,026404 Plumbing,026404,2024-07-17
59-11257,2.0,2.48,026404 Plumbing,026404,2024-07-17
35-20379,1.0,410.33,026808 Facility Repair,026808,2024-09-19
35-50484K,1.0,7.39,026400 Carpenters,026400,2024-09-30
35-20031K,200.0,3.86,026809 Preventive Maintenance,026809,2024-07-09
35-10721S,1.0,14.32,026404 Plumbing,026404,2024-07-17
25-10507,4.0,12.0,026401 Electricians,026401,2024-07-19
22-50528,1.0,5290.0,026401 Electricians,026401,2024-09-20
35-12341,2.0,4.19,026400 Carpenters,026400,2024-09-30
20-12642,1.0,393.03,026401 Electricians,026401,2025-01-10
90-12116,12.0,4.6,026809 Preventive Maintenance,026809,2025-02-04
90-51718,96.0,11.77,026809 Preventive Maintenance,026809,2025-03-06
59-11302,1.0,14.83,026404 Plumbing,026404,2024-07-17
58-00439,2.0,257.0,026404 Plumbing,026404,2024-12-10
70-11049,2.0,164.5,026403 Mechanicals,026403,2025-02-25
71-00575,2.0,484.6944,026403 Mechanicals,026403,2024-08-20
71-00575,1.0,484.69,026403 Mechanicals,026403,2024-08-22
20-10195S,10.0,13.877,026401 Electricians,026401,2024-12-13
22-12952,1.0,28.0,026401 Electricians,026401,2025-02-11
71-11393S,10.0,2.11,026403 Mechanicals,026403,2025-04-08
58-11924S,4.0,5.7,026404 Plumbing,026404,2024-08-05
59-11085,1.0,236.55,026404 Plumbing,026404,2024-08-05
30-10503S,30.0,17.95,026803 Custodial Services,026803,2024-08-28
30-10503S,50.0,17.95,026803 Custodial Services,026803,2024-11-04
30-10503S,24.0,17.95,026803 Custodial Services,026803,2025-03-07
90-51718,48.0,12.97,026809 Preventive Maintenance,026809,2024-11-15
71-57037,4.0,29.75,026403 Mechanicals,026403,2025-01-09
22-11585,10.0,3.49,026401 Electricians,026401,2025-02-04
70-11624,30.0,75.97,026403 Mechanicals,026403,2024-08-07
95-11012S,1.0,871.68,026809 Preventive Maintenance,026809,2024-09-30
91-00009,1.0,79.3,026809 Preventive Maintenance,026809,2024-05-28
30-10545,6.0,36.74,026803 Custodial Services,026803,2024-05-31
44-10280,24.0,19.47,026402 Painters,026402,2024-06-24
44-10454,4.0,33.94,026402 Painters,026402,2024-06-24
58-00453,20.0,3.21,026404 Plumbing,026404,2025-01-03
95-10104S,1.0,135.95,026809 Preventive Maintenance,026809,2025-02-05
71-00538,2.0,32.64,026403 Mechanicals,026403,2024-06-13
20-10813,1.0,154.75,026401 Electricians,026401,2024-12-19
59-11573,5.0,66.73,026404 Plumbing,026404,2025-01-14
71-00543S,3.0,25.14,026403 Mechanicals,026403,2025-01-29
35-10764S,1.0,1.3,026401 Electricians,026401,2025-02-06
95-10142,4.0,39.695,026809 Preventive Maintenance,026809,2025-02-27
90-10264K,2.0,52.62,026809 Preventive Maintenance,026809,2025-03-11
71-00099,1.0,162.83,026403 Mechanicals,026403,2025-03-26
22-12889,2.0,21.24,026401 Electricians,026401,2024-05-15
20-10170,1.0,152.83,026401 Electricians,026401,2024-06-12
22-12125,5.0,108.98,026401 Electricians,026401,2025-02-06
30-10547,4.0,48.87,026803 Custodial Services,026803,2024-05-31
44-10477,1.0,92.0,026402 Painters,026402,2024-06-24
44-10470S,4.0,12.73,026402 Painters,026402,2024-06-24
44-10546,6.0,5.94,026402 Painters,026402,2024-06-24
Tool Paint Shop,1.0,28.83,026402 Painters,026402,2024-06-24
59-11433,3.0,24.44,026404 Plumbing,026404,2024-06-25
Stores Tool,2.0,30.87,026804 Stores,026804,2024-07-16
20-10135,3.0,122.24,026401 Electricians,026401,2024-07-23
PM Tool,1.0,147.74,026809 Preventive Maintenance,026809,2024-07-24
PM Tool,4.0,21.21,026809 Preventive Maintenance,026809,2024-07-24
Stores Tool,6.0,5.52,026804 Stores,026804,2024-07-29
Custodial Tool,2.0,23.46,026803 Custodial Services,026803,2024-08-09
Custodial Tool,2.0,14.9,026803 Custodial Services,026803,2024-08-09
PM Tool,1.0,59.53,026809 Preventive Maintenance,026809,2024-08-21
35-50348K,16.0,3.8,026804 Stores,026804,2025-04-15
44-10548S,2.0,10.99,026402 Painters,026402,2024-06-24
30-10209S,10.0,78.592,026803 Custodial Services,026803,2025-05-14
58-11015,8.0,17.27,026404 Plumbing,026404,2024-08-05
59-11813,4.0,17.67,026404 Plumbing,026404,2024-08-05
22-10332,10.0,7.71,026401 Electricians,026401,2024-07-23
91-00239,1.0,104.24,026809 Preventive Maintenance,026809,2024-07-05
35-30033,16.0,9.99,026402 Painters,026402,2024-08-06
90-10600,2.0,333.65,026809 Preventive Maintenance,026809,2024-10-29
90-10444,4.0,172.59,026809 Preventive Maintenance,026809,2024-10-29
71-00539,1.0,4.22,026403 Mechanicals,026403,2024-11-21
15-26875,4.0,385.65,026400 Carpenters,026400,2025-02-03
Mechanical Tool,2.0,9.49,026403 Mechanicals,026403,2024-09-26
Mechanical Tool,2.0,66.06,026403 Mechanicals,026403,2024-09-26
Mechanical Tool,1.0,36.11,026403 Mechanicals,026403,2024-09-26
Mechanical Tool,1.0,43.0,026403 Mechanicals,026403,2024-09-26
91-00317,1.0,244.01,026809 Preventive Maintenance,026809,2024-06-12
59-10107S,25.0,0.55,026404 Plumbing,026404,2025-04-18
Grounds Tool,5.0,36.22,026805 Grounds,026805,2025-04-08
35-10223K,4.0,6.47,026804 Stores,026804,2025-04-14
Mechanical Tool,1.0,54.26,026403 Mechanicals,026403,2025-04-22
58-00447,12.0,24.92,026404 Plumbing,026404,2025-04-23
PM Tool,1.0,40.74,026809 Preventive Maintenance,026809,2024-07-19
Electrical Tool,1.0,1293.46,026401 Electricians,026401,2024-08-01
Stores Tool,1.0,55.0,026804 Stores,026804,2024-08-01
PM Tool,3.0,104.97,026809 Preventive Maintenance,026809,2024-09-17
25-10310,2.0,556.58,026401 Electricians,026401,2024-09-23
Custoidal Tool,12.0,36.11,026803 Custodial Services,026803,2024-09-23
Custodial Tool,12.0,36.11,026803 Custodial Services,026803,2024-09-23
Carpentry Tool,3.0,13.26,026400 Carpenters,026400,2024-09-30
Carpentry Tool,3.0,15.13,026400 Carpenters,026400,2024-09-30
Carpentry Tool,3.0,13.52,026400 Carpenters,026400,2024-09-30
PM Tool,1.0,239.02,026809 Preventive Maintenance,026809,2024-10-16
PM Tool,1.0,106.47,026809 Preventive Maintenance,026809,2024-10-16
PM Tool,2.0,67.46,026809 Preventive Maintenance,026809,2024-10-29
55-54604,6.0,9.67,026404 Plumbing,026404,2025-04-11
58-00513,1.0,23.5,026404 Plumbing,026404,2025-05-12
91-00289S,5.0,16.24,026809 Preventive Maintenance,026809,2024-11-13
Paint Tool,2.0,62.28,026402 Painters,026402,2024-11-15
44-10323,2.0,64.59,026402 Painters,026402,2024-11-15
Mechanical Tool,1.0,553.82,026403 Mechanicals,026403,2024-11-21
Mechanical Tool,1.0,297.92,026403 Mechanicals,026403,2024-11-21
Mechanical Tool,2.0,88.0,026403 Mechanicals,026403,2024-11-22
Mechanical Tool,1.0,34.07,026403 Mechanicals,026403,2024-12-13
59-11813,1.0,17.67,026404 Plumbing,026404,2024-06-26
58-00415,2.0,6.33,026404 Plumbing,026404,2024-10-16
59-10941,1.0,15.85,026404 Plumbing,026404,2024-12-27
58-00487,13.0,0.87,026404 Plumbing,026404,2025-05-05
40-10158,20.0,14.14,026808 Facility Repair,026808,2024-06-25
44-10557S,1.0,12.73,026402 Painters,026402,2024-10-17
22-12654,6.0,208.73,026401 Electricians,026401,2024-12-04
95-10078,100.0,19.15,026809 Preventive Maintenance,026809,2024-12-10
35-10740S,10.0,7.99,026803 Custodial Services,026803,2024-10-21
22-12925,1.0,1974.0,026401 Electricians,026401,2024-11-04
90-10112,6.0,12.52,026809 Preventive Maintenance,026809,2024-12-11
Grounds Tool,1.0,38.66,026805 Grounds,026805,2025-01-10
Grounds Tool,2.0,3.92,026805 Grounds,026805,2025-01-10
58-00447,6.0,24.7,026404 Plumbing,026404,2025-01-14
Electrical Tool,5.0,9.01,026401 Electricians,026401,2025-01-28
Electrical Tool,5.0,9.01,026401 Electricians,026401,2025-01-28
Electrical Tool,1.0,19.75,026401 Electricians,026401,2025-01-29
Electrical  Tool,2.0,12.75,026909 Electrical_Elevator_Inventory,026909,2025-02-26
Electrical  Tool,2.0,13.12,026909 Electrical_Elevator_Inventory,026909,2025-02-26
Electrical  Tool,2.0,14.08,026909 Electrical_Elevator_Inventory,026909,2025-02-26
30-10489,50.0,90.62,026803 Custodial Services,026803,2025-03-13
Mechanical Tool,1.0,203.78,026403 Mechanicals,026403,2025-03-26
Mechanical Tool,1.0,184.7,026403 Mechanicals,026403,2025-03-26
A&E Tool,2.0,48.11,026807 A&E Services,026807,2025-03-28
58-00487,20.0,0.89,026404 Plumbing,026404,2025-02-14
30-10543,288.0,1.7,026803 Custodial Services,026803,2025-02-25
44-10133,2.0,217.45,026402 Painters,026402,2025-03-28
30-10059S,4.0,137.53,026803 Custodial Services,026803,2024-08-20
15-11229,10.0,16.64,026400 Carpenters,026400,2024-12-19
15-11232,20.0,5.0,026400 Carpenters,026400,2025-01-03
71-00670,1.0,14.46,026403 Mechanicals,026403,2025-03-20
22-12737,12.0,375.73,026401 Electricians,026401,2024-06-07
91-00365K,5.0,31.85,026809 Preventive Maintenance,026809,2024-12-20
30-10364S,20.0,4.87,026803 Custodial Services,026803,2024-05-28
71-12884,4.0,30.185,026403 Mechanicals,026403,2024-06-24
71-11459,2.0,60.8,026403 Mechanicals,026403,2024-06-24
71-10464S,4.0,12.664,026403 Mechanicals,026403,2024-06-24
Custodial Tool,2.0,161.0,026803 Custodial Services,026803,2025-02-17
Mechanical Tool,4.0,92.75,026403 Mechanicals,026403,2025-05-12
Custodial Tool,2.0,9.05,026803 Custodial Services,026803,2025-05-14
71-10036S,2.0,16.33,026403 Mechanicals,026403,2025-05-05
Stores Tool,1.0,7.36,026804 Stores,026804,2024-07-17
Stores Tool,2.0,3.0,026804 Stores,026804,2024-07-17
Carpentry Tool,3.0,38.86,026400 Carpenters,026400,2024-07-17
Mechanical Tool,1.0,40.1,026403 Mechanicals,026403,2024-08-09
Mechanical Tool,1.0,35.68,026403 Mechanicals,026403,2024-08-09
Plumbing Tool,1.0,61.17,026404 Plumbing,026404,2024-08-16
Carpentry Tool,3.0,31.96,026808 Facility Repair,026808,2024-08-28
Facility Repair Tool,25.0,6.0,026808 Facility Repair,026808,2024-09-19
25-10219,2.0,546.36,026401 Electricians,026401,2024-09-23
Stores Tool,3.0,18.31,026804 Stores,026804,2024-10-09
58-00396,1.0,37.94,026404 Plumbing,026404,2024-07-09
25-10452,12.0,22.43,026401 Electricians,026401,2024-07-31
22-12909,1.0,158.42,026401 Electricians,026401,2024-09-10
22-50024,3.0,127.58,026401 Electricians,026401,2024-09-26
71-00587,1.0,38.25,026403 Mechanicals,026403,2024-09-30
71-00078,1.0,260.0,026403 Mechanicals,026403,2024-08-19
Plumbing Tool,2.0,30.5,026404 Plumbing,026404,2024-10-21
Mechanical Tool,1.0,92.44,026403 Mechanicals,026403,2024-10-28
Mechanical Tool,1.0,37.93,026403 Mechanicals,026403,2024-10-28
Mechanical Tool,1.0,22.61,026403 Mechanicals,026403,2024-10-28
Csutodial Tool,2.0,2.68,026803 Custodial Services,026803,2024-10-29
PM Tool,2.0,43.89,026809 Preventive Maintenance,026809,2024-10-30
15-11149,1.0,159.5,026400 Carpenters,026400,2024-11-18
Carpentry Tool,1.0,59.74,026400 Carpenters,026400,2024-11-18
Carpentry Tool,2.0,179.58,026400 Carpenters,026400,2024-11-18
70-11578,1.0,248.0972,026403 Mechanicals,026403,2024-11-25
Mechanical Tool,4.0,110.13,026403 Mechanicals,026403,2024-12-13
Mechanical Tool,1.0,124.2,026403 Mechanicals,026403,2024-12-13
Mechanical Tool,1.0,8.57,026403 Mechanicals,026403,2024-12-13
91-00362K,4.0,22.84,026809 Preventive Maintenance,026809,2024-12-20
Carpentry Tool,1.0,142.32,026400 Carpenters,026400,2025-01-14
59-12136S,3.0,5.86,026404 Plumbing,026404,2025-01-30
Groudns Tool,1.0,8.79,026805 Grounds,026805,2025-02-17
59-10489,4.0,1.86,026404 Plumbing,026404,2025-03-07
Electrical Shop Tool,1.0,20.44,026401 Electricians,026401,2025-03-14
Electrical Shop Tool,1.0,28.78,026401 Electricians,026401,2025-03-14
Mechanical Tool,2.0,23.27,026403 Mechanicals,026403,2025-03-20
Plumbing Tool,1.0,43.83,026404 Plumbing,026404,2025-04-03
71-12530S,10.0,0.31,026403 Mechanicals,026403,2025-01-03
59-11856,3.0,11.84,026404 Plumbing,026404,2025-01-14
20-10718,100.0,2.6094,026401 Electricians,026401,2024-09-26
91-00360K,2.0,11.95,026809 Preventive Maintenance,026809,2024-12-20
40-10432S,2.0,7.24,026808 Facility Repair,026808,2025-01-14
15-10742,6.0,11.38,026400 Carpenters,026400,2025-01-14
25-10490,10.0,13.0,026909 Electrical_Elevator_Inventory,026909,2024-05-20
Custodial tool,2.0,32.3,026803 Custodial Services,026803,2024-08-01
30-20572S,1.0,131.74,026803 Custodial Services,026803,2025-02-25
90-51718,12.0,13.54,026809 Preventive Maintenance,026809,2024-05-28
91-00312,2.0,840.0,026809 Preventive Maintenance,026809,2024-06-12
22-12893,1.0,35.78,026401 Electricians,026401,2024-06-12
58-00451,6.0,8.39,026404 Plumbing,026404,2025-01-16
59-10328S,15.0,0.89,026404 Plumbing,026404,2025-01-27
20-10773,1.0,108.67,026401 Electricians,026401,2024-10-30
35-10750S,2.0,7.17,026400 Carpenters,026400,2024-12-04
